UNIPROT,Category of binding
PHAX,Cargo A
CTU1,Cargo A
RWDD4,Cargo A
WIBG,Cargo A
SEP10,Cargo A
AP180,Cargo A
PDLI7,Cargo A
FRMD8,Cargo A
DAPL1,Cargo A
TISB,Cargo A
IKBE,Cargo A
SEPT8,Cargo A
HIF1N,Cargo A
CD37L,Cargo A
SRP54,Cargo A
SIR2,Cargo A
SEBP2,Cargo A
SMG9,Cargo A
LIMD1,Cargo A
TF65,Cargo A
NTKL,Cargo A
FXR1,Cargo A
AZI2,Cargo A
CDCA7,Cargo A
TRADD,Cargo A
TRI25,Cargo A
PQBP1,Cargo A
FBXL4,Cargo A
SLAI1,Cargo A
FA53A,Cargo A
MKRN2,Cargo A
UBP16,Cargo A
P5CR2,Cargo A
GKAP1,Cargo A
SQSTM,Cargo A
LSM11,Cargo A
SAS10,Cargo A
CCNB2,Cargo A
IMP4,Cargo A
DNJC8,Cargo A
SPB1,Cargo A
AURKA,Cargo A
LPIN2,Cargo A
TBC17,Cargo A
SHQ1,Cargo A
MTMR6,Cargo A
TDRKH,Cargo A
TRIP4,Cargo A
STK11,Cargo A
PDD2L,Cargo A
LTV1,Cargo A
RL29,Cargo A
UEVLD,Cargo A
CTU2,Cargo A
CPSF4,Cargo A
RN216,Cargo A
RPAP2,Cargo A
BUB1B,Cargo A
GRWD1,Cargo A
EPN4,Cargo A
TFCP2,Cargo A
TBC15,Cargo A
H1BP3,Cargo A
SC23A,Cargo A
AP1M1,Cargo A
SR140,Cargo A
ASCC1,Cargo A
RT25,Cargo A
RAPH1,Cargo A
PAXI,Cargo A
HOIL1,Cargo A
FKBP6,Cargo A
CH033,Cargo A
SYAP1,Cargo A
APBA3,Cargo A
CU002,Cargo A
ZCHC3,Cargo A
UBP2L,Cargo A
CMTR1,Cargo A
CASC3,Cargo A
UBAP2,Cargo A
FR1OP,Cargo A
ASCC2,Cargo A
DIAP3,Cargo A
CEP41,Cargo A
SPCS,Cargo A
SEPT6,Cargo A
ZC3HF,Cargo A
STRAA,Cargo A
GCP4,Cargo A
RU2B,Cargo A
RMP,Cargo A
AGFG1,Cargo A
LS14A,Cargo A
REN3A,Cargo A
TBCD7,Cargo A
RABL6,Cargo A
HNRPM,Cargo A
R3HD2,Cargo A
PP4R1,Cargo A
IF2P,Cargo A
PAF1,Cargo A
PCM1,Cargo A
SEPT2,Cargo A
E2F5,Cargo A
RT31,Cargo A
OTU6B,Cargo A
S7A6O,Cargo A
RS21,Cargo A
NOB1,Cargo A
IF4G2,Cargo A
TBK1,Cargo A
HBS1L,Cargo A
MTM1,Cargo A
REN3B,Cargo A
RNF31,Cargo A
C2D1A,Cargo A
AP3D1,Cargo A
KCMF1,Cargo A
SEP11,Cargo A
MAP1S,Cargo A
ZNHI2,Cargo A
ABCF3,Cargo A
AP3B2,Cargo A
TFDP1,Cargo A
PASK,Cargo A
ELOA1,Cargo A
RT17,Cargo A
ARFG3,Cargo A
UBA5,Cargo A
CCDC6,Cargo A
RT28,Cargo A
RS30,Cargo A
POF1B,Cargo A
EI2BD,Cargo A
AP3S1,Cargo A
AKAP1,Cargo A
SEPT7,Cargo A
TNIK,Cargo A
PIWL2,Cargo A
RBL2B,Cargo A
AP3S2,Cargo A
APC5,Cargo A
WDR37,Cargo A
PRP4,Cargo A
LPP,Cargo A
RENT2,Cargo A
CYLD,Cargo A
AP1B1,Cargo A
HNRPR,Cargo A
SEPT9,Cargo A
AP3M2,Cargo A
RPAP3,Cargo A
AP1G1,Cargo A
LST8,Cargo A
RT07,Cargo A
RPB7,Cargo A
IF2B,Cargo A
ALG13,Cargo A
LSM2,Cargo A
DRG1,Cargo A
SLBP,Cargo A
PDPK1,Cargo A
EI2BG,Cargo A
MAP2,Cargo A
IF3M,Cargo A
SBNO1,Cargo A
EI2BE,Cargo A
ERC6L,Cargo A
ZN330,Cargo A
MTMR9,Cargo A
SHC1,Cargo A
KAP2,Cargo A
SAHH3,Cargo A
TSC1,Cargo A
DHX29,Cargo A
RT26,Cargo A
SC24C,Cargo A
KHDR1,Cargo A
GPN3,Cargo A
IF2G,Cargo A
RT05,Cargo A
CDC73,Cargo A
RBFA,Cargo A
RT18B,Cargo A
RT27,Cargo A
PP6R1,Cargo A
KAPCA,Cargo A
RT02,Cargo A
KAP3,Cargo A
PICAL,Cargo A
DHX57,Cargo A
HAUS1,Cargo A
RS15,Cargo A
RS26,Cargo A
PTCD3,Cargo A
FBRL,Cargo A
MAP1B,Cargo A
CDC23,Cargo A
NEMF,Cargo A
RT23,Cargo A
RT35,Cargo A
COPG2,Cargo A
WNK1,Cargo A
SYNC,Cargo A
RS6,Cargo A
RENT1,Cargo A
SNRPA,Cargo A
COPB2,Cargo A
RT09,Cargo A
RT15,Cargo A
RWDD1,Cargo A
SPF45,Cargo A
WDR44,Cargo A
MTHSD,Cargo A
RPC4,Cargo A
KAPCB,Cargo A
EI2BB,Cargo A
IF5,Cargo A
RT22,Cargo A
RT34,Cargo A
CHM2B,Cargo A
RT24,Cargo A
WDR92,Cargo A
ELP4,Cargo A
WASH2,Cargo A
PPP6,Cargo A
ABCF2,Cargo A
